"vértice","east","north"
"P-01",427598,166820.54
"P-02",435174.52,170593.25
"P-03",450552.04,169153.19
"P-04",456317.05,145219.3
"P-05",455693.37,146023.09
"P-06",454884.36,145933.75
"P-07",453674.7,146592.78
"P-08",452649.76,146877.73
"P-09",452524.73,147039.13
"P-10",453281.76,147847.39
"P-11",453351.4,149339.89
"P-12",452883.92,151208.31
"P-13",452331.18,152600.34
"P-14",451159.45,154576.2
"P-15",447651.5,153910.03
"P-16",444273.57,154404.48
"P-17",443548.32,154532.67
"P-18",441722.48,154417.67
"P-19",440903.88,156548.03
"P-20",440765.3,159753.51
"P-21",439526.76,160880.3
"P-22",431274.65,162583.42
"P-23",431101.32,164339.89
"P-24",429249.23,165848.01
