"vértice","east","north"
"P-01",388569.02,141080.97
"P-02",393275.7,141898.71
"P-03",396290.49,146714.25
"P-04",397355.73,147893.07
"P-05",400728.88,149527.64
"P-06",407462.18,156471.28
"P-07",407776.6,157030.3
"P-08",408349.95,159425.68
"P-09",409449.77,161226.32
"P-10",413112.13,164601.15
"P-11",414175.76,165467.26
"P-12",415430.21,167048.49
"P-13",416437.52,168973.51
"P-14",420624.54,171534.05
"P-15",421726.6,172739.29
"P-16",422879.13,171753.57
"P-17",424220.26,171652.99
"P-18",424907.58,172088.85
"P-19",426164.88,172357.08
"P-20",435174.52,170593.25
"P-21",427598,166820.54
"P-22",429249.23,165848.01
"P-23",431101.32,164339.89
"P-24",431274.65,162583.42
"P-25",431164.87,162606.07
"P-26",428112.43,162218.04
"P-27",427569.02,159575.12
"P-28",426770.2,158871.21
"P-29",425462.75,156906.6
"P-30",424672.81,144302.76
"P-31",426518.11,139572.64
"P-32",427444.47,137960.04
"P-33",426961.23,134382.52
"P-34",428236.94,130950.9
"P-35",423560.87,131013.35
"P-36",423378.13,130563.09
"P-37",418765.81,138132.31
"P-38",416613.41,137260.28
"P-39",415407.42,139245.91
"P-40",410769.2,140443.12
"P-41",400212.53,120672.98
"P-42",400116.22,120721.62
"P-43",398765.47,119081.12
"P-44",397694.61,118838.48
"P-45",397172.17,118538.79
"P-46",396401.42,117883.41
"P-47",396013.13,116814.97
"P-48",395653.59,116075.61
"P-49",395150.95,115474.91
"P-50",391163.4,120310.67
"P-51",391375.68,120231.25
"P-52",391882.91,120041.47
"P-53",394076.05,119566.23
"P-54",394081.57,120938.06
"P-55",396607.18,121311.93
"P-56",397374.77,121171.64
"P-57",397784.83,120813.34
"P-58",397514.17,121719.75
"P-59",395240.92,122661.83
"P-60",395298.05,123210.32
"P-61",393515.26,123354.85
"P-62",392634.89,122782.28
"P-63",391154.83,122650.73
