"vértice","east","north"
"P-01",449528.68,202813.48
"P-02",450552.04,169153.19
"P-03",435184.88,170582.63
"P-04",426449.87,172332.13
"P-05",426164.88,172357.08
"P-06",424907.58,172088.85
"P-07",424220.26,171652.99
"P-08",422879.13,171753.57
"P-09",421726.6,172739.29
"P-10",422097.15,173144.55
"P-11",424109.81,176588.49
"P-12",424717.8,179355.57
"P-13",425757.67,181435.03
"P-14",426430.45,184543.88
"P-15",426601.19,186970.9
"P-16",426796.17,188277.1
"P-17",426345.06,190770.31
"P-18",427752.38,191788.55
"P-19",428778.95,191688.57
"P-20",429843.01,192584.39
"P-21",430389.3,195226.53
"P-22",430924.53,196156.77
"P-23",430713.43,197185.29
"P-24",431521.4,196993.21
"P-25",433505.91,200559.17
"P-26",435427.83,204031.72
"P-27",436087.29,204898.56
"P-28",441133.14,205610.68
"P-29",443843.05,206058.68
"P-30",445235.69,204991.32
"P-31",446009.98,204488.26
"P-32",446404.99,204437.84
